"product_id","product_name","in_stock","available_units","price","seller_id","category_id"
"P1812000215285","Innovative Blender","yes",347,37.99,"S1212000006917","C1912000001514"
"P1812000350684","Portable Hand Mixer","yes",475,25.99,"S1212000106989","C1912000001514"
"P1812000334647","High-Quality Vacuum Cleaner","yes",419,25.99,"S1212000029689","C1912000001514"
"P1812000255317","Versatile Washing Machine","yes",64,35.99,"S1212000092523","C1912000001514"
"P1812000070846","Sleek Refrigerator","no",0,28.99,"S1212000092523","C1912000001514"
"P1812000094385","Compact Air Purifier","yes",495,37.99,"S1212000113277","C1912000001514"
"P1812000422276","High-Quality Vacuum Cleaner","yes",124,22.99,"S1212000106989","C1912000001514"
"P1812000022939","Powerful Washing Machine","yes",13,28.99,"S1212000092523","C1912000001514"
"P1812000006917","Fashionable Air Purifier","yes",67,40.99,"S1212000140254","C1912000001514"
"P1812000174119","Premium Blender","yes",130,24.99,"S1212000140254","C1912000001514"
"P1812000266652","Compact Blender","yes",295,25.99,"S1212000113277","C1912000001514"
"P1812000118825","Advanced Vacuum Cleaner","yes",135,22.99,"S1212000143425","C1912000001514"
"P1812000079917","Practical Vacuum Cleaner","yes",378,33.99,"S1212000113277","C1912000001514"
"P1812000475795","Reliable Washing Machine","yes",320,31.99,"S1212000106989","C1912000001514"
"P1812000269597","Eco-Friendly Washing Machine","yes",251,34.99,"S1212000106989","C1912000001514"
"P1812000069873","Trendy Vacuum Cleaner","yes",211,26.99,"S1212000143425","C1912000001514"
"P1812000402986","Stylish Air Purifier","yes",371,27.99,"S1212000006917","C1912000001514"
"P1812000335574","Robust Refrigerator","yes",185,28.99,"S1212000092523","C1912000001514"
"P1812000085854","Fashionable Refrigerator","yes",89,27.99,"S1212000140254","C1912000001514"
"P1812000314240","Robust Air Purifier","yes",357,26.99,"S1212000140254","C1912000001514"
"P1812000128961","Stylish Hand Mixer","yes",284,40.99,"S1212000092523","C1912000001514"
"P1812000073953","Dynamic Blender","yes",327,26.99,"S1212000106989","C1912000001514"
"P1812000158659","Robust Refrigerator","yes",0,25.99,"S1212000143425","C1912000001514"
"P1812000036643","Sleek Hand Mixer","yes",0,26.99,"S1212000092523","C1912000001514"
"P1812000052674","Ergonomic Air Purifier","yes",136,24.99,"S1212000092523","C1912000001514"
"P1812000374129","Affordable Refrigerator","yes",240,28.99,"S1212000092523","C1912000001514"
"P1812000026748","Comfortable Blender","yes",396,39.99,"S1212000006917","C1912000001514"
"P1812000495711","Eco-Friendly Air Purifier","yes",306,32.99,"S1212000006917","C1912000001514"
"P1812000499562","Elegant Hand Mixer","yes",133,25.99,"S1212000113277","C1912000001514"
"P1812000139490","Premium Air Purifier","yes",386,29.99,"S1212000106989","C1912000001514"
"P1812000219251","Fashionable Hand Mixer","yes",117,30.99,"S1212000029689","C1912000001514"
"P1812000460725","High-Performance Refrigerator","yes",321,30.99,"S1212000092523","C1912000001514"
"P1812000288154","High-Quality Air Purifier","yes",46,34.99,"S1212000029689","C1912000001514"
"P1812000328521","Ergonomic Hand Mixer","yes",399,32.99,"S1212000029689","C1912000001514"
"P1812000383564","High-Quality Washing Machine","no",0,27.99,"S1212000006917","C1912000001514"
"P1812000037589","Versatile Vacuum Cleaner","yes",489,35.99,"S1212000143425","C1912000001514"
"P1812000170883","Elegant Air Purifier","yes",386,37.99,"S1212000029689","C1912000001514"
"P1812000306567","Modern Vacuum Cleaner","yes",296,35.99,"S1212000140254","C1912000001514"
"P1812000077308","Practical Vacuum Cleaner","yes",313,27.99,"S1212000092523","C1912000001514"
"P1812000105762","Elegant Vacuum Cleaner","yes",36,41.99,"S1212000106989","C1912000001514"
"P1812000226864","Sophisticated Vacuum Cleaner","yes",254,30.99,"S1212000029689","C1912000001514"
"P1812000456408","User-Friendly Hand Mixer","yes",0,37.99,"S1212000106989","C1912000001514"
"P1812000487339","Fashionable Hand Mixer","yes",437,29.99,"S1212000106989","C1912000001514"
"P1812000083168","Sleek Blender","yes",386,34.99,"S1212000092523","C1912000001514"
"P1812000433221","Fashionable Refrigerator","yes",5,38.99,"S1212000143425","C1912000001514"
"P1812000246556","Comfortable Blender","yes",313,32.99,"S1212000092523","C1912000001514"
"P1812000342549","Fashionable Blender","yes",132,39.99,"S1212000113277","C1912000001514"
"P1812000369376","Futuristic Vacuum Cleaner","no",0,25.99,"S1212000143425","C1912000001514"
"P1812000091390","Robust Washing Machine","no",0,32.99,"S1212000029689","C1912000001514"
"P1812000074138","Efficient Washing Machine","yes",0,40.99,"S1212000140254","C1912000001514"
"P1812000157837","Fashionable Vacuum Cleaner","no",0,35.99,"S1212000113277","C1912000001514"
"P1812000132718","Stylish Refrigerator","yes",236,35.99,"S1212000092523","C1912000001514"
"P1812000258797","Practical Vacuum Cleaner","yes",0,33.99,"S1212000006917","C1912000001514"
"P1812000387195","Elegant Vacuum Cleaner","yes",52,32.99,"S1212000006917","C1912000001514"
"P1812000268489","Sleek Hand Mixer","yes",185,24.99,"S1212000113277","C1912000001514"
"P1812000197860","Elegant Vacuum Cleaner","yes",458,38.99,"S1212000029689","C1912000001514"
"P1812000020748","Innovative Blender","yes",7,37.99,"S1212000006917","C1912000001514"
"P1812000486589","Compact Hand Mixer","no",0,39.99,"S1212000113277","C1912000001514"
"P1812000121785","Fashionable Hand Mixer","yes",485,27.99,"S1212000106989","C1912000001514"
"P1812000048389","Elegant Air Purifier","yes",74,37.99,"S1212000140254","C1912000001514"
"P1812000346906","Fashionable Washing Machine","no",0,24.99,"S1212000140254","C1912000001514"
"P1812000438593","Robust Air Purifier","yes",303,37.99,"S1212000140254","C1912000001514"
"P1812000249378","Sleek Vacuum Cleaner","yes",0,31.99,"S1212000006917","C1912000001514"
"P1812000492109","Sleek Refrigerator","yes",340,38.99,"S1212000140254","C1912000001514"
"P1812000327333","Fashionable Blender","yes",220,31.99,"S1212000006917","C1912000001514"
"P1812000123913","Compact Washing Machine","yes",267,29.99,"S1212000006917","C1912000001514"
"P1812000050171","Portable Vacuum Cleaner","yes",194,23.99,"S1212000029689","C1912000001514"
"P1812000358704","Eco-Friendly Blender","yes",118,26.99,"S1212000029689","C1912000001514"
"P1812000472303","Stylish Makeup Kit","yes",216,2.99,"S1212000102579","C1912000002562"
"P1812000392247","Stylish Perfume","yes",311,2.99,"S1212000157837","C1912000002562"
"P1812000071555","Eco-Friendly Makeup Kit","yes",0,2.99,"S1212000157837","C1912000002562"
"P1812000060562","Sustainable Face Cream","yes",16,2.99,"S1212000058393","C1912000002562"
"P1812000055964","Fashionable Razor","yes",0,2.99,"S1212000102579","C1912000002562"
"P1812000143425","Futuristic Razor","yes",181,3.99,"S1212000058393","C1912000002562"
"P1812000351391","Eco-Friendly Face Cream","yes",13,3.99,"S1212000157837","C1912000002562"
"P1812000396692","Eco-Friendly Makeup Kit","yes",351,2.99,"S1212000018190","C1912000002562"
"P1812000230408","Sleek Perfume","no",0,2.99,"S1212000018190","C1912000002562"
"P1812000201349","Innovative Razor","yes",475,3.99,"S1212000102579","C1912000002562"
"P1812000470361","Fashionable Makeup Kit","yes",165,2.99,"S1212000058393","C1912000002562"
"P1812000336390","Sleek Perfume","yes",306,2.99,"S1212000058393","C1912000002562"
"P1812000477766","Elegant Face Cream","no",0,2.99,"S1212000157837","C1912000002562"
"P1812000030692","Advanced Makeup Kit","yes",0,3.99,"S1212000067215","C1912000002562"
"P1812000126977","Sustainable Perfume","yes",138,3.99,"S1212000067215","C1912000002562"
"P1812000353889","Eco-Friendly Razor","yes",25,2.99,"S1212000069873","C1912000002562"
"P1812000444199","Sleek Perfume","yes",251,3.99,"S1212000102579","C1912000002562"
"P1812000221153","Gorgeous Perfume","yes",253,3.99,"S1212000157837","C1912000002562"
"P1812000464425","Powerful Razor","yes",174,2.99,"S1212000058393","C1912000002562"
"P1812000425677","Fashionable Makeup Kit","yes",193,2.99,"S1212000069873","C1912000002562"
"P1812000086508","Eco-Friendly Perfume","yes",89,3.99,"S1212000018190","C1912000002562"
"P1812000080133","Fashionable Perfume","yes",23,2.99,"S1212000069873","C1912000002562"
"P1812000348386","Fashionable Face Cream","yes",155,3.99,"S1212000069873","C1912000002562"
"P1812000469986","Dynamic Razor","yes",387,2.99,"S1212000069873","C1912000002562"
"P1812000133576","Durable Face Cream","yes",419,3.99,"S1212000157837","C1912000002562"
"P1812000301920","Sleek Perfume","yes",361,3.99,"S1212000058393","C1912000002562"
"P1812000405463","Trendy Face Cream","yes",488,2.99,"S1212000018190","C1912000002562"
"P1812000420563","Compact Face Cream","yes",62,3.99,"S1212000058393","C1912000002562"
"P1812000124409","Advanced Face Cream","yes",48,2.99,"S1212000058393","C1912000002562"
"P1812000371175","Portable Razor","yes",357,2.99,"S1212000058393","C1912000002562"
"P1812000489731","Elegant Face Cream","yes",165,3.99,"S1212000067215","C1912000002562"
"P1812000329607","Futuristic Perfume","yes",198,3.99,"S1212000058393","C1912000002562"
"P1812000370308","Portable Makeup Kit","yes",282,3.99,"S1212000069873","C1912000002562"
"P1812000092523","Sleek Makeup Kit","yes",439,2.99,"S1212000102579","C1912000002562"
"P1812000279772","Ergonomic Perfume","yes",423,3.99,"S1212000018190","C1912000002562"
"P1812000320687","Sleek Razor","yes",130,2.99,"S1212000082112","C1912000002562"
